Asset ID,Origination Date,Total Advance,Total EMI,Payment Date,Payment Amount,Cohort,Elapsed Month
264,2024-01-31,17160,20540,2024-02-07,860,2024-01,1
264,2024-01-31,17160,20540,2024-02-14,860,2024-01,1
264,2024-01-31,17160,20540,2024-02-21,860,2024-01,1
264,2024-01-31,17160,20540,2024-02-28,860,2024-01,1
264,2024-01-31,17160,20540,2024-03-06,860,2024-01,2
264,2024-01-31,17160,20540,2024-03-13,860,2024-01,2
264,2024-01-31,17160,20540,2024-03-20,860,2024-01,2
264,2024-01-31,17160,20540,2024-03-27,860,2024-01,2
264,2024-01-31,17160,20540,2024-04-03,860,2024-01,3
264,2024-01-31,17160,20540,2024-04-10,9000,2024-01,3
324,2024-01-29,20000,23645,2024-02-05,986,2024-01,1
324,2024-01-29,20000,23645,2024-02-12,986,2024-01,1
324,2024-01-29,20000,23645,2024-02-19,986,2024-01,1
324,2024-01-29,20000,23645,2024-02-26,986,2024-01,1
324,2024-01-29,20000,23645,2024-03-04,986,2024-01,2
324,2024-01-29,20000,23645,2024-03-11,986,2024-01,2
324,2024-01-29,20000,23645,2024-03-18,986,2024-01,2
324,2024-01-29,20000,23645,2024-03-25,986,2024-01,2
324,2024-01-29,20000,23645,2024-04-01,986,2024-01,3
324,2024-01-29,20000,23645,2024-04-08,986,2024-01,3
324,2024-01-29,20000,23645,2024-04-15,986,2024-01,3
324,2024-01-29,20000,23645,2024-04-22,986,2024-01,3
324,2024-01-29,20000,23645,2024-04-29,986,2024-01,3
324,2024-01-29,20000,23645,2024-05-06,986,2024-01,4
324,2024-01-29,20000,23645,2024-05-13,986,2024-01,4
324,2024-01-29,20000,23645,2024-05-20,986,2024-01,4
324,2024-01-29,20000,23645,2024-05-27,986,2024-01,4
324,2024-01-29,20000,23645,2024-06-03,986,2024-01,5
324,2024-01-29,20000,23645,2024-06-10,986,2024-01,5
324,2024-01-29,20000,23645,2024-06-17,986,2024-01,5
324,2024-01-29,20000,23645,2024-06-24,985,2024-01,5
324,2024-01-29,20000,23645,2024-07-01,985,2024-01,6
324,2024-01-29,20000,23645,2024-07-08,985,2024-01,6
324,2024-01-29,20000,23645,2024-10-28,970,2024-01,9
336,2024-01-29,27500,32720,2024-02-05,2045,2024-01,1
336,2024-01-29,27500,32720,2024-02-12,2045,2024-01,1
336,2024-01-29,27500,32720,2024-02-19,2045,2024-01,1
336,2024-01-29,27500,32720,2024-02-26,2045,2024-01,1
336,2024-01-29,27500,32720,2024-03-04,2045,2024-01,2
336,2024-01-29,27500,32720,2024-03-11,2045,2024-01,2
336,2024-01-29,27500,32720,2024-03-18,2045,2024-01,2
336,2024-01-29,27500,32720,2024-03-25,2045,2024-01,2
336,2024-01-29,27500,32720,2024-04-01,2045,2024-01,3
336,2024-01-29,27500,32720,2024-04-08,2045,2024-01,3
336,2024-01-29,27500,32720,2024-04-15,12270,2024-01,3
567,2024-01-31,17160,20540,2024-02-07,860,2024-01,1
567,2024-01-31,17160,20540,2024-02-14,860,2024-01,1
567,2024-01-31,17160,20540,2024-02-21,860,2024-01,1
567,2024-01-31,17160,20540,2024-02-28,860,2024-01,1
567,2024-01-31,17160,20540,2024-03-06,860,2024-01,2
